Contract_Number,Consumer_ID,Product,Contract_Status,Application Date,Entry Date,StartHalf,First Installment Date,Purchase Amt,Deposit Amt,Financed Amt,Deposit_Percent,Total Term,Term_Run,Term_Remaining,Payment Type,Total No Of Payments,Freq,Instalment Amt,Total Payments Received,Total Balance Outstanding,Amt Paid To Merchant_nettofmerchfeesandGST,Gtee Rate,Gtee Charges,Est Fees,Proc Fees,Other Fees,Total Merchant Charges,Total Consumer Charges,Total Charges,Effective Billing Rate,Expected Contract End Date,No Of Days In Default,Arrears Amount,No Of Days In Arrears,DefaultAmount,DefaultDate,MonthsToDefault,Recent Default_Default Date,Recent Default_Default Amt,Recent Default_Recov Amt,Recent Default_Cure Date,Consumer Post Code,Consumer Year Of Birth,Merchant Number,Merchant Name,Industry Name,Homowner Ind,Homowner Consumer
61201613,L61201613,CARAGE,Default,2007/7/14,2007/9/20,2007H2,2007/11/12,14198,1698,12500,0.119594309,30,30,0,Bank,30,Mth,416.6666667,2916.62 ,503.38 ,10344,0.153999999,1924.99,35,0,0,1959.99 ,10.00,1969.99 ,0.1575992,2010/5/12,996,503.38,342,503.38,2008/10/17,13,2008/6/19,9583.38 ,9080.00 ,,2579,1965/12/11,30114737,RANBUILD - SOUTHERN TABLELANDS,Sheds & Carports,Yes,Yes
60894924,L60894924,AIR CON,Default,2007/6/22,2007/11/6,2007H2,2007/11/16,15422,3422,12000,0.221890805,30,30,0,Bank,65,FN,184.5869866,3693.37 ,0.03 ,9911.1,0.154499993,1853.99,45,0,0,1898.99 ,30.00,1928.99 ,0.160749167,2010/5/16,942,0.03,302,0.03,2008/12/10,13,2008/8/12,8306.63 ,8306.60 ,,4510,1950/9/25,30108863,NATURAL FIBRE PTY LTD,Air Conditioning / Heating,Yes,Yes
61030006,L61030006,SHUTTER,Default,2007/5/7,2007/8/24,2007H2,2007/9/19,6944,0,6944,0,24,24,0,Bank,52,FN,133.5179203,133.53 ,0.01 ,5890.3,0.131600007,913.83,44,0,0,957.83 ,10.00,967.83 ,0.13937644,2009/9/19,1236,0.01,541,0.01,2008/2/20,6,2007/10/23,6810.47 ,6810.46 ,,4124,1962/2/12,30107417,MODERN ROOF RESTORATION (QLD) PTY LTD,Roofing / Shutters / Gutters,Yes,Yes
60732399,L60732399,AIR CON,Default,2005/12/29,2006/1/29,2006H1,2006/2/6,8129,0,8129,0,24,24,0,Bank,52,FN,156.3028765,0.00 ,1919.00 ,6809,0.142700002,1160,40,0,0,1200.00 ,0.00,1200.00 ,0.147619633,2008/2/6,1851,1919,1302,1919,2006/6/15,5,2006/2/15,8129.00 ,6210.00 ,,4505,1938/5/4,30108863,NATURAL FIBRE PTY LTD,Air Conditioning / Heating,Yes,Yes
60929399,L60929399,AIRCONA,Default,2006/11/1,2006/11/9,2006H2,2006/12/1,8843,818,8025,0.092502544,24,24,0,CC,24,Mth,334.375,1003.12 ,1162.50 ,6872.6,0.126800001,1017.57,30,0,0,1047.57 ,10.00,1057.57 ,0.131784424,2008/12/1,1475,1162.5,939,1162.5,2007/6/26,7,2007/2/26,7021.88 ,5859.38 ,,5043,1976/10/14,30108191,CLIMAT - STEPNEY,Air Conditioning / Heating,Yes,Yes
61323521,L61323521,,Default,2007/11/27,2007/12/10,2007H2,2007/12/27,10850,3850,7000,0.35483871,24,24,0,Bank,52,FN,134.5946777,807.61 ,401.46 ,5995,0.124799997,873.59,40,0,0,913.59 ,20.00,933.59 ,0.13337,2009/12/27,1065,401.46,482,401.46,2008/8/9,8,2008/4/11,6192.39 ,5790.93 ,,2444,1977/7/23,30112951,ALTERED CARBON PTY LTD,Plastic Surgery,No,No
61002653,L61002653,SHEO,Default,2007/7/31,2007/11/7,2007H2,2007/12/6,13888,1389,12499,0.100014401,30,30,0,Bank,30,Mth,416.6333333,7116.08 ,375.42 ,10343.1,0.153999999,1924.84,35,0,0,1959.84 ,40.00,1999.84 ,0.16,2010/6/6,653,375.42,307,375.42,2009/9/25,22,2009/5/28,5382.92 ,5007.50 ,,6244,1965/5/18,30114635,RANBUILD - OUTDOOR WORLD MANJIMUP,Sheds & Carports,Yes,Yes
61323501,L61323501,SURGERY,Default,2007/11/28,2007/12/18,2007H2,2007/12/26,10850,3850,7000,0.35483871,24,24,0,Bank,52,FN,134.5946777,673.05 ,1326.95 ,5995,0.124799997,873.59,40,0,0,913.59 ,0.00,913.59 ,0.130512857,2009/12/26,1100,1326.95,581,1326.95,2008/7/5,7,2008/3/7,6326.95 ,5000.00 ,,4019,1976/9/13,30112951,ALTERED CARBON PTY LTD,Plastic Surgery,No,No
60949042,L60949042,A/COND,Default,2006/3/23,2006/4/26,2006H1,2006/5/5,5440,0,5440,0,24,24,0,Bank,52,FN,104.5992924,523.05 ,20.00 ,4542,0.142700002,776.28,40,0,0,816.28 ,0.00,816.28 ,0.150051471,2008/5/5,1683,20,1045,20,2006/11/29,7,2006/8/1,4916.95 ,4896.95 ,,6722,1939/11/23,30108864,COOL OR COSY - WA,Air Conditioning / Heating,Yes,Yes
60535508,L60535508,POOLS,Default,2007/8/20,2007/8/20,2007H2,2007/9/10,38225,28225,10000,0.738391105,24,24,0,Bank,24,Mth,416.6666667,4166.60 ,993.40 ,8594.2,0.122299999,1222.99,55,0,0,1277.99 ,0.00,1277.99 ,0.127799,2009/9/10,971,993.4,622,993.4,2008/11/11,15,2008/7/14,5833.40 ,4840.00 ,,2154,1961/1/10,30111597,BLUE HAVEN POOLS & SPAS - LANSVALE,Pools and Spas,Yes,Yes
